trip_id,cab_id,payment_id,start_location_latt,start_location_long,end_location_latt,end_location_long,Amount_paid,Amount_paid_type,cab_type,trip_rating,Cab_booking_time,Cab_booking_date,travel_time,waiting_time,discount_applied,single_lady
1,30aa9c78-c63b-4cd9-92a1-f5ada0f3ca30,a68ca4ea-c71c-4d25-8d24-3dac705d41ae,35.691878,106.04401,40.2442315,44.6342209,746.3,cash,auto,5,2:35,2/22/2017,45,12,yes,no
2,548f20cc-2c9f-422e-9da1-9fed67614c58,45d8c7fe-7227-4874-8b15-502889db66f3,54.8625893,69.2398607,49.9176763,18.3509727,1338.89,card,auto,4,12:13,2/27/2017,133,5,yes,no
3,fc6265d0-700e-4b3d-845a-c9071b103481,8a454591-e076-4eda-996f-26e710f96aec,38.6132118,-90.3207299,-7.5874497,110.7420464,549.9,cash,SUV,5,11:04,2/25/2017,184,13,yes,no
4,234ef1ea-f7d6-494a-b978-e1ec48f149f6,2185674b-aec8-462a-9358-450fc54a3be1,-25.6962731,28.7023068,48.6085692,42.8455406,1523.59,card,micro,4,3:28,5/20/2017,184,20,yes,no
5,883de1cc-3e05-484e-b0e5-1fde992b9ba0,e70f70d6-367d-41b9-b650-63d6a87bb521,53.5666638,26.1406893,50.2614833,14.2988193,1035.16,cash,sedan,5,3:01,3/28/2017,36,7,yes,no
6,4ed0a390-06b6-49ff-bbb7-b51ca5e55c79,c26b6458-0891-4526-933f-254f14301911,35.4957441,139.4480166,-6.8300602,110.8374104,1793.94,card,sedan,3,2:29,2/3/2017,210,3,yes,no
7,2b20845f-bd10-4f42-9789-85cf02c7b880,08cddd8f-8943-4a57-8075-734bcd295679,51.240387,20.3798933,10.4868673,-66.739712,1908.13,card,auto,4,1:00,10/14/2016,105,30,no,no
8,506da385-5349-430d-99d9-bb2bfda24434,99c3cda9-63a6-4cfe-bc7a-6f32cfb2bd7a,41.7662205,-8.5065208,59.4310564,26.2664249,385.34,card,auto,4,11:13,2/10/2017,174,6,no,no
9,dda05da3-d713-47dc-b82b-ff73a57ca398,35c2774a-43a3-4eb5-b7dc-b167d76ed54f,50.4064969,17.301758,26.731743,115.622147,1236.16,card,SUV,4,4:37,2/27/2017,196,14,yes,no
10,4e574d27-bc1d-4a55-9f46-ddd2fe3e61a9,9a340fd6-72cf-49bc-9163-49377bf39629,-8.9542,121.032,-25.9685155,31.2483291,948.96,cash,auto,3,14:06,3/4/2017,59,10,no,no
11,0bc4feff-26d5-42ea-a46b-c3ba4f50baab,1c779191-6778-4a1f-ad5e-bc233d42680c,48.8693156,2.3501981,-25.0324274,25.7486438,733.82,card,sedan,4,0:39,4/22/2017,70,22,yes,no
12,22db803f-17f2-48e1-ac47-99c004e82b3a,dde64b64-c3b4-4efa-8fbd-2ef3b735569b,-7.4250762,108.2822389,-29.4950673,-50.7802377,1581.21,cash,SUV,4,2:05,11/8/2016,255,3,yes,no
